,add date,Total Reach - Followers,# Playlists
0,2020-09-05,36782,2
1,2020-09-06,47675,1
2,2020-09-08,1816,1
3,2020-09-16,1119,1
4,2020-09-18,940,1
5,2020-09-22,917,1
6,2020-09-23,27544,3
7,2020-09-24,1014,1
8,2020-09-25,930,1
9,2020-09-26,5506,1
10,2020-09-27,201981,1
11,2020-09-28,4211664,7
12,2020-09-29,1105249,9
13,2020-09-30,1073952,7
14,2020-10-01,3321910,7
15,2020-10-02,434398,15
16,2020-10-03,2601899,7
17,2020-10-04,133357,8
18,2020-10-05,459974,9
19,2020-10-06,350822,14
20,2020-10-07,15639139,3
