,playlist id,playlist name,positon,add date,description,official,followers
0,37i9dQZEVXbMH2jvi6jvjk,South Africa Top 50,45,2020-10-12,Your daily update of the most played tracks in South Africa right now.,True,18626
1,37i9dQZEVXbK4NvPi6Sxit,India Viral 50,50,2020-10-12,Your daily update of the most viral tracks in India.,True,12819
2,37i9dQZEVXbJiyhoAPEfMK,Switzerland Top 50,46,2020-10-12,Your daily update of the most played tracks in Switzerland right now.,True,113238
3,0AF4jgCJ48VYmYPMwofk2s,Reels songs you can't get out of your head | TikTok & Reels Music ⭐,15,2020-10-12,"biggest viral hits from instagram reels, updated weekly! reels music | reels songs | reels hits | reels charts | reels 2020 | summer 2020 | instagram reels | instagram reels music | instagram reels songs | tiktok",False,31471
4,37i9dQZEVXbO5MSE9RdfN2,Australia Viral 50,47,2020-10-12,Your daily update of the most viral tracks in Australia.,True,68300
5,37i9dQZEVXbJmRv5TqJW16,France Viral 50,41,2020-10-12,Your daily update of the most viral tracks in France.,True,64248
6,37i9dQZEVXbJNSeeHswcKB,Belgium Top 50,48,2020-10-12,Your daily update of the most played tracks in Belgium right now.,True,253603
7,37i9dQZEVXbLesry2Qw2xS,Estonia Top 50,41,2020-10-12,Your daily update of the most played tracks in Estonia right now.,True,14688
8,4XFUsKDDR1lYL6sw8ylPN3,Top 50,39,2020-10-11,Top 50 biggest hits in the world!,False,23546
9,37i9dQZEVXbOcsE2WCaJa2,Norway Viral 50,38,2020-10-11,Your daily update of the most viral tracks in Norway.,True,26285
10,77IVfRs9Tz03TfcKoYrOK0,Chill Rock,1193,2020-10-11,For moments [--I&#x27;ll be updating the playlist less as I go to the conscript service on the sixth of January--],False,15381
11,37i9dQZEVXbN7gfhgaomhA,Peru Viral 50,35,2020-10-11,Your daily update of the most viral tracks in Peru.,True,78392
12,37i9dQZEVXbJs8e2vk15a8,Chile Viral 50,41,2020-10-11,Your daily update of the most viral tracks in Chile.,True,69497
13,6ChQGShAz9FtD5AAcBUbJQ,UK,26,2020-10-11,The biggest hits in the United Kingdom / Great Britain!,False,18103
14,3uCX7eTZDEnJU7FJOtb8k9,Topsify NZ Top 40,2,2020-10-11,"The top hits in New Zealand right now. Check out the <a href=""https://open.spotify.com/user/warnermusicnz"">Topsify NZ</a> profile for more playlists. Image: Dua Lipa",False,20040
15,0JFatPoPq82gNcPa4esOzj,TikTok songs you can’t get out of your head | summer 2020 TikTok songs 🌞,15,2020-10-11,"biggest viral hits from TikTok music, new songs added weekly! TikTok hits - TikTok songs - TikTok 2020 - TikTok charts - reels songs - reels music - instagram reels - summer 2020 TikTok songs - 2020 summer - verano 2020",False,585898
16,37i9dQZEVXbJv2Mvelmc3I,Philippines Viral 50,39,2020-10-11,Your daily update of the most viral tracks in Philippines.,True,178834
17,37i9dQZEVXbJWuzDrTxbKS,Latvia Top 50,35,2020-10-11,Your daily update of the most played tracks in Latvia right now.,True,12641
18,1UMoTxj9pwlo4YSLFy3TwP,Pop Hits,38,2020-10-10,"Taylor Swift - Look What You Made Me Do. The biggest pop hits right now, and some old ones to mix it up!",False,20273
19,37i9dQZEVXbLiRSasKsNU9,Global Viral 50,41,2020-10-10,Your daily update of the most viral tracks in the world.,True,1677149
20,37i9dQZF1DX4OzrY981I1W,my life is a movie,22,2020-10-10,every main character needs their soundtrack,True,133631
21,37i9dQZEVXbMOkSwG072hV,Brazil Viral 50,37,2020-10-10,Your daily update of the most viral tracks in Brazil.,True,325384
22,37i9dQZEVXbKMzVsSGQ49S,Iceland Top 50,31,2020-10-10,Your daily update of the most played tracks in Iceland right now.,True,36329
23,37i9dQZF1DX0tkXsEpwo5J,De Buenas,17,2020-10-10,¡Canciones para sonreír durante el día!,True,41486
24,37i9dQZEVXbNxY4E5g33Gy,Paraguay Viral 50,30,2020-10-10,Your daily update of the most viral tracks in Paraguay.,True,22585
25,3k7FkRAvyBbSPVAO9wmmOp,TikTok Charts 2020 • Tik Tok Hits • Taylor Swift Love Story Disco Lines Remix Cover • M to the B,15,2020-10-09,"Top Music October 2020 • Tik Tok Memes and Viral Charts 2020 • Best Dance, House and Pop Songs • my playlist • <a href=""http://bit.ly/2OZ4g4m"">Instagram</a> • <a href=""http://bit.ly/2pT2FPn"">Twitter</a> • <a href=""https://mychartsmusic.com"">Website</a> TikTok Deutschland",False,37571
26,1kuvKUsWFvzELdUQn94XxY,"TikTok Songs Vol. 5 | M to the B Millie, Drank & Drugs, Know Yourself, Lets Link, Upside Down, Mood",24,2020-10-09,"Instagram: @roxanaluho | TikTok Chanel, TikTok, Tik Tok, TikTok Hits, TikTok Trending, TikTok Trends, TikTok Songs, TikTok Charts, TikTok Viral, Tik Tok Songs, TikTok Trending, TikTok Trends, TikTok Songs, TikTok Charts, TikTok Viral,  TikTok Charts, TikTok Viral, Tik Tok Songs, TikTok",False,49623
27,4HOlG8KlmZk1mMpkMeNtR6,2020 Hits 🔥 Viral Hits 2020🔥TOP 100 Songs 2020🔥Hit List 2020🔥Best Pop Songs 2020🔥Latest Songs🔥,13,2020-10-09,"<a href=""spotify:playlist:5nS26oBxDMgq8V64lS4KzV"">Covers 2020🎸👈 Listen🎸🎷🎺</a>",False,43423
28,7j4auEt8oGbdb5NzbA2lGC,Canciones de TikTok que conoces pero no sabes cuales son,1,2020-10-09,TikTok Canciones | TikTok Hits | TikTok 2020 | TikTok Songs | TikTok Charts | Tik Tok Songs | Tik Tok Hits | Tik Tok 2020 | Tik Tok Songs ,False,14156
29,57EG9lWmdn7HHofXuQVsow,TikTok Music 2020 - Best Tik Tok Songs & TikTok Dances,27,2020-10-09,"Biggest viral hits from Tik Tok Music, new ones added daily! TikTok Charts - Best TikTok Songs - TikTok 2020 - Tik Tok Hits - Tik Tok Music - Tik Tok 2020 - Tik Tok Charts - Triller Songs - Triller Music - Triller Hits - Triller Dances - Triller 2020",False,918025
30,2HC8QewvFIRPRGViyi4rs5,Éxitos Tik Tok México 🇲🇽🎶,1,2020-10-09,Los éxitos de Tik Tok mas sonados en México los encuentras aquí. Playlist actualizada semanalmente. | TikTok hits - TikTok songs - TikTok 2020 - TikTok Charts - Summer 2020 TikTok songs - Summer 2020 - Verano 2020. Submissions via SubmitHub.,False,14631
31,37i9dQZF1DXarRysLJmuju,Pop All Day,10,2020-10-09,"Keep up with all the latest pop hits. Cover: Bebe Rexha, Doja Cat",True,457682
32,37i9dQZEVXbMx56Rdq5lwc,Lithuania Top 50,23,2020-10-09,Your daily update of the most played tracks in Lithuania right now.,True,19801
33,3BSjCwIA91gKQBOZ3FHlEt,Global Viral 50,77,2020-10-09,Viral 50 Global | Éxitos Global | Global Éxitos | Top 50 Global | Global Hits | Viral Global 50 | The most viral tracks in the world right,False,20297
34,38Gwsj6ktf3z1rVfmmeXSo,2020 HITS TOP 100 Songs | Latest Songs 2020 (Top New Songs),23,2020-10-09,"Bringing you the Top 100 Songs of 2020 Hits, New Songs and Latest Hits. Happy Hits, Fresh Songs, Twerk- Twerking Songs, Teen Party Music 2020 and more!",False,20512
35,6wWQ3S5cD5UoxvlPjRoKDN,Norway Top 100 Topsify,40,2020-10-09,"100 av de mest populære låtene som trender i Spotify akkurat nå! Dette er den ultimate topplista for deg som vil ha den beste nye musikken før VG-lista oppdateres! Trykk &quot;follow&quot; og sjekk ut<a href=""http://open.spotify.com/user/playlistmenorway""> Topsify Norway</a> for flere spillelister!",False,26050
36,3CV4m7gpnCjTYPqcPoI2dc,"TIK TOK TRENDING / VIRAL 100 🎵 (Girlfriend (She’s Like So Whatever), Drip Like ME, New Thang, Boom, ...",6,2020-10-09,"MORE PLAYLISTS ON OUR PROFILE &#x2F;&#x2F; CONTRIBUTE: patreon.com&#x2F;viciplaylists &#x2F;&#x2F; Includes music by DaBaby, Ashnikko, Arizona Zervas, Trevor Daniel, Doja Cat, K CAMP, TOKYO&#x27;S REVENGE, YNW Melly, Don Toliver, 24kGoldn, Tones and I, Kina, Joji, Y2K, bbno$, LIL MAYO. ",False,29253
37,4Sfccot1TksnIXvpANJ9yl,Tik Tok Songs 2020 - Hits & More | Colonize Media,7,2020-10-09,"A collection of the best Tik Tok songs, updated every week! (Disclaimer: COLONIZE MEDIA, INC. Has no relationship or afilliation with TikTok) hand curated based on the most popular songs! Playlist submissions: <a href=""https://submissions@colonizemedia.com"">submissions@colonizemedia.com</a>",False,72267
38,4E1Lsq0dUQJMx2SxhrAMnz,Hottest 100 2021 🎸Predictions🎸,13,2020-10-09,"<a href=""spotify:playlist:5nS26oBxDMgq8V64lS4KzV"">Covers 2020🎸👈 Listen🎸🎷🎺</a>",False,68570
39,37i9dQZF1DWUa8ZRTfalHk,Pop Rising,10,2020-10-09,The hits of tomorrow are on Spotify today. Cover: Ruel,True,1997531
40,37i9dQZF1DX4KeocBrdbJg,Viral Hits: México,1,2020-10-08,Que no te cuenten: las rolas virales imperdibles en MX.,True,158652
41,2CJsD3fcYJWcliEKnwmovU, New Hot Global Hits,46,2020-10-08,New Hot Viral Top 50 Music Global Hits Pop  Reggaeton Rap Trap Dance Electronic Hip Hop EDM Chill Latino House K-pop R&amp;B Tropical World Trent Songs Updated Weekly Summer Party,False,169091
42,37i9dQZEVXbKrooeK9WSFF,Colombia Viral 50,21,2020-10-08,Your daily update of the most viral tracks in Colombia.,True,72189
43,37i9dQZEVXbKfIuOAZrk7G,Canada Viral 50,31,2020-10-08,Your daily update of the most viral tracks in Canada.,True,54739
44,5Dy0JXCbGPQHQmgTkaT8s7,Global Top 50 - Top 50 Global,60,2020-10-08,Global Hits 2018 | Exitos Global | el top 50 global | Mundial top 100 | Top 100 Global - Global top 100,False,48452
45,37i9dQZEVXbJWZV7aRNQck,Dominican Republic Viral 50,5,2020-10-08,Your daily update of the most viral tracks in Dominican Republic.,True,23588
46,37i9dQZF1DWYLUQ5WYaArq,Throwback Thursday,4,2020-10-07,This week: Songs that make you want to sing your heart out ❤️,True,301464
47,37i9dQZEVXbMDoHDwVN2tF,Global Top 50,17,2020-10-07,Your daily update of the most played tracks right now.,True,15653259
48,5rsjKnPubvhnUD44Aklmng,TikTok Hits | TikTok Songs 2020,1,2020-10-07,TikTok Hits | TikTok songs 2020 - The biggest TikTok songs right now on TikTok. Includes viral TikTok Hits from the TikTok charts. Photo: S1mba,False,22463
49,2VuLItL5JvT6b3cG9K92O9,Matin Difficile,42,2020-10-07,Réveil compliqué ce matin ? On vous accompagne pour démarrer la journée en pleine forme !,False,22284
50,3JwPVKISB9IBlE2RST1MVn,¡A Bailar...Con Distancia!,37,2020-10-07,¡Una playlist para que no dejes de bailar. En portada: Lenny Tavárez.,False,241985
51,3fCzqkU0pL5iL1pYzQZRmR,At Work | Concentration Optimale | Musique pour Travailler,6,2020-10-07,La rentrée est difficile ? On reste motivé avec la playlist idéale pour travailler au bureau ou à la maison.,False,19701
52,1CMpiNXl6BlvVl3qIi6kTN,50 Mais Tocadas no Mundo 🌎 Internacionais 2020,23,2020-10-07,As 50 Mais Tocadas - Melhores Internacionais - Músicas Mais Tocadas - Top 50 Brasil 🇧🇷,False,19622
53,3IBrsav3Sh8AImtaGoaP07,Good Mornings - Happily Positive Music to Start The Day,20,2020-10-06,"Good morning music to wake up happy and start your day right! We’ve put together the perfect playlist of upbeat pop classics and positive songs to carry your stress away and start with a smile - <a href=""https://rb.gy/hbsqjf"">Submit Your Music</a>",False,26194
54,1K3CWZMz6B8Q3p4fcEK8UY,Volvieron los Lentos,3,2020-10-06,"Grandes baladas, clásicos inmemorables y los temas más románticos de hoy ¡que no vas a poder parar de escuchar!",False,152051
55,2O27CFFzmdBreT0Vlk0mUv,Home Sweet Music,2,2020-10-06,"Home, Casa, Hogar y la música que necesitás para relajar ",False,16005
56,37i9dQZEVXbMIO7B1pcKUy,Panama Viral 50,4,2020-10-06,Your daily update of the most viral tracks in Panama.,True,16428
57,3anv6LilLSXofGDR12W1Mp,Aesthetic songs  / aesthetic tiktok songs,23,2020-10-06,"Low-key rotation of indie, chill and lo-fi vibes for all your aesthetic needs. Containing all the most aesthetic TikTok songs you've heard but probably don't know the name... so save your favorites! - <a href=""https://rb.gy/hbsqjf"">Submit Your Music</a>",False,98019
58,37i9dQZF1DXd0PFYKeP9rl,Online Juice,10,2020-10-05,Concentrated from across the web. This is where the sweet stuff is at.,True,32403
59,1G5kaLW3ISkbSFJVV9apnv,Clásicos de Siempre,5,2020-10-05,Los clásicos mundiales que marcaron épocas. En la foto: Linkin Park.,False,41771
60,37i9dQZEVXbKj23U1GF4IR,Canada Top 50,4,2020-10-05,Your daily update of the most played tracks in Canada right now.,True,322782
61,0cDmqvJnp9ScjFUeR9iCjN,VIRAL,38,2020-10-05,The biggest viral hits in the world!,False,24178
62,54NRTuvgDANNROlUkaU2Nc,Party Hits,11,2020-10-05,"Get your party started with all the biggest hits, dance tracks and EDM music that's hot right now! Our party hits playlist is sure to sweep your guests of their feet and onto the dancefloor. Don't forget to <a href=""spotify:user:atlastrecords"">follow ATLAST</a> and check out our other epic playlists. Updated weekly!",False,13289
63,2XKTUlIvByWEWfbNe6dSJ2,Top 50 Australia - Updated Weekly,19,2020-10-04,,False,12415
64,4AWAqQeAvnHXYwyn1vAnPP,Friday Beers Tasty Licks,381,2020-10-04,The official @friday.beers playlist. Curated by DJ Press Play.,False,83456
65,37i9dQZEVXbKOefHPXPMyf,Costa Rica Viral 50,6,2020-10-04,Your daily update of the most viral tracks in Costa Rica.,True,17312
66,4JgPn5zouXilXoM2v1Istn,USA Top 50,6,2020-10-03,USA Top 50 - Top 50 USA - America Top 50 - US Top 50 - Top 50 America - USA Top 50,False,13674
67,2K5orQpHzks4lk3kdNYeoj,US Top 40,9,2020-10-03,"The biggest hits in the USA! With WAP (feat. Megan Thee Stallion), Lemonade, Mood (feat. Iann Dior), Dreams, Put Your Records On, What You Know Bout Love, For The Night (feat. Lil Baby &amp; DaBaby), Laugh Now Cry Later (feat. Lil Durk), Dynamite and more.",False,31766
68,37i9dQZF1DX7IVTXIV4emO,El Challenge,40,2020-10-03,Desde todos los rincones de internet: Los hits más virales del momento.,True,55727
69,37i9dQZEVXbLnolsZ8PSNw,United Kingdom Top 50,18,2020-10-03,Your daily update of the most played tracks in United Kingdom right now.,True,2169416
70,37i9dQZEVXbKuaTI1Z1Afx,United States Viral 50,28,2020-10-03,Your daily update of the most viral tracks in United States.,True,346058
71,4QY0UyROvR8MHKTCwUoUZH,Koffietijd,2,2020-10-02,"Koffie, krantje, croissantje en heerlijk genieten. Dit is jouw coffeehouse playlist! Ook tijdens het werk of studeren met Ed Sheeran | Coldplay | Jason Mraz en meer.",False,22249
72,3ziRJHv1S2zmscr4O4YmOi,Folk Indie collection,3,2020-10-02,,False,20844
73,2La5Zbd0kUtx0TNVzKK9Qt,HITS TOP 100,39,2020-10-02,Top 100 biggest hits!,False,19723
74,4FLeoROn5GT7n2tZq5XB4V,TikTok Hits,11,2020-10-02,The most trending songs on TikTok. Just for you. Cover: 24kGoldn,False,186823
75,44rV1QtpADRwE3HcDRqhdn,United States Viral 50,50,2020-10-02,Viral 50 USA |  Viral Music in USA right Now | USA Pop | El Viral 50 Estados Unidos | Viral 50 US | Pop en Ingles | US top 40 | USA Viral Charts | VIral 50 United States | USA Viral 50 | United States Viral Charts,False,14560
76,12zuYFqWPS3eRBjps4nh4r,New Music Friday US,37,2020-10-02,"New music is here! Follow this United States, US New Music Friday playlist to stay up to date. Every Friday you&#x27;ll be the first one to hear all new music that&#x27;s out there!",False,33497
77,5beDjijpg8omZTbvFP2Kvx,Great Vibes @arijelkins,7,2020-10-02,"why settle for good when you can have great <a href=""https://www.instagram.com/arijelkins"">Follow me on Instagram</a>",False,34998
78,26aifXMDw6xUY7EQLySHS9,Cheerful Tunes,2,2020-10-02,Cheerful Tunes to set the mood. Classics and new favourites to make you feel good!,False,17334
79,37i9dQZF1DXd2wJvXxyJb8,Hits da Internet,10,2020-10-01,Tudo o que está bombando e viralizando por aí!,True,157508
80,37i9dQZF1DX2L0iB23Enbq,Viral Hits,34,2020-10-01,"Viral, trending and taking off.",True,1257634
81,4R4puKReh7dDwIpsGNHrXi,Australia Top 50 - Top 50 Australia - Triple J Hottest 100 2020 - Australia Day 2020,31,2020-10-01,ARIA CHARTS - ARIA 2018 - Australia Top 100 - Top 100 Australia | Triple J Hottest 100 | Triple J HitList | Triple J Charts | Hot Hits Australia | Top 50 ARIA | top hits australia,False,33866
82,6SQEBxpzGnQc0LESXXgXFU,PLAYLIST1: 2020 Hits NOW • @RadiousFM,17,2020-09-30,,False,20586
83,4vdBAF0rZZ0ZOuw9JaX0W6,Cat Stevens and Friends,95,2020-09-30,,False,23246
84,37i9dQZEVXbLuUZrygauiA,Mexico Viral 50,3,2020-09-30,Your daily update of the most viral tracks in Mexico.,True,207595
