index,weekly_chart,track_name,artist_name,cm_track_id,cm_artist_id,isrc,spotify_popularity,track_genre,region,rank,current_plays,time_on_chart
0,2020-01-05_top200US,The Box,Roddy Ricch,27599255,839964,USAT21906978,89.0,"melodic rap,rap,southern hip hop,trap",['US'],1,18952305,45
1,2020-01-05_top200US,ROXANNE,Arizona Zervas,27228348,64150,USSM11914320,87.0,pop,['US'],2,9671478,48
2,2020-01-05_top200US,Yummy,Justin Bieber,28077991,3479,USUM71923046,79.0,"canadian pop,dance pop,pop,post-teen pop",['CA'],3,9648561,6
3,2020-01-05_top200US,Circles,Post Malone,25021708,135326,USUM71915699,89.0,"dfw rap,melodic rap,pop,rap",['US'],4,8244725,57
4,2020-01-05_top200US,BOP,DaBaby,25358331,398544,USUM71918972,,"nc hip hop,rap",['US'],5,7985170,55
5,2020-01-05_top200US,Falling,Trevor Daniel,20659476,720461,USUYG1221109,86.0,"alternative r&b,emo rap,melodic rap",['US'],6,7503297,18
6,2020-01-05_top200US,Dance Monkey,Tones And I,22955238,1410939,QZES71982312,70.0,australian pop,['AU'],7,6986158,63
7,2020-01-05_top200US,Bandit (with YoungBoy Never Broke Again),Juice WRLD,25643026,921966,USUG11903492,,"baton rouge rap,trap,chicago rap,melodic rap,pop","['US', 'US']",8,6938158,54
8,2020-01-05_top200US,Futsal Shuffle 2020,Lil Uzi Vert,27662235,5732,USAT21907135,,"melodic rap,philly rap,rap,trap",['US'],9,6802710,12
9,2020-01-05_top200US,everything i wanted,Billie Eilish,27203921,5596,USUM71922577,87.0,"electropop,pop",['US'],10,6181388,49
10,2020-01-05_top200US,Ballin' (with Roddy Ricch),Mustard,24232403,4573,USUM71911808,84.0,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap,melodic rap,rap,southern hip hop,trap","['US', 'US']",11,6166618,63
11,2020-01-05_top200US,Blinding Lights,The Weeknd,27552418,3852,USUG11904206,35.0,"canadian contemporary r&b,canadian pop,pop,rap",['CA'],12,6093807,16
12,2020-01-05_top200US,Adore You,Harry Styles,27599120,558681,USSM11912588,87.0,"dance pop,pop,post-teen pop",['GB'],13,5918797,44
13,2020-01-05_top200US,Suicidal,YNW Melly,27460356,763339,QMCE31902585,,"melodic rap,trap",['US'],14,5880355,32
14,2020-01-05_top200US,My Oh My,Camila Cabello,27597895,454302,USSM11914257,,"nc hip hop,rap,dance pop,pop,post-teen pop","['US', 'US']",15,5680153,23
15,2020-01-05_top200US,Don't Start Now,Dua Lipa,26822879,5381,GBAHT1901121,86.0,"dance pop,pop,post-teen pop,uk pop",['GB'],16,5216621,21
